text,location,device,action
把客厅灯停止,客厅,灯,关闭
帮我关掉厨房的热水器,厨房,热水器,关闭
现在关掉客厅窗帘,客厅,窗帘,关闭
麻烦关上卫生间里面的热水器,卫生间,热水器,关闭
把阳台灯关一下,阳台,灯,关闭
现在打开卫生间灯,卫生间,灯,打开
请停止卫生间灯,卫生间,灯,关闭
请请打开客厅空调,客厅,空调,打开
麻烦关上卧室里面的灯,卧室,灯,关闭
关一下客厅风扇,客厅,风扇,关闭
麻烦请关闭客厅里面的风扇,客厅,风扇,关闭
现在请关闭书房灯,书房,灯,关闭
请打开客厅风扇,客厅,风扇,打开
把书房灯开启,书房,灯,打开
客厅的灯启动一下,客厅,灯,打开
厨房的热水器关一下一下,厨房,热水器,关闭
现在开一下阳台灯,阳台,灯,打开
卧室的空调关掉一下,卧室,空调,关闭
卧室的灯请关闭一下,卧室,灯,关闭
客厅的空调请关闭一下,客厅,空调,关闭
把阳台窗帘开启,阳台,窗帘,打开
现在开一下卫生间热水器,卫生间,热水器,打开
请关掉客厅灯,客厅,灯,关闭
现在打开卧室空调,卧室,空调,打开
请打开厨房油烟机,厨房,油烟机,打开
把客厅风扇关掉,客厅,风扇,关闭
关一下厨房热水器,厨房,热水器,关闭
现在停止阳台窗帘,阳台,窗帘,关闭
启动客厅风扇,客厅,风扇,打开
把厨房热水器请关闭,厨房,热水器,关闭
餐厅的灯请打开一下,餐厅,灯,打开
现在关闭厨房灯,厨房,灯,关闭
客厅的灯帮我开一下,客厅,灯,打开
阳台的灯请关闭一下,阳台,灯,关闭
把厨房灯停止,厨房,灯,关闭
把卧室风扇关掉,卧室,风扇,关闭
麻烦请关闭卧室里面的空调,卧室,空调,关闭
卧室的窗帘开一下一下,卧室,窗帘,打开
请停止卧室灯,卧室,灯,关闭
麻烦关闭书房里面的风扇,书房,风扇,关闭
请请关闭餐厅灯,餐厅,灯,关闭
现在停止卧室空调,卧室,空调,关闭
麻烦停止厨房里面的灯,厨房,灯,关闭
麻烦帮我关餐厅里面的风扇,餐厅,风扇,关闭
我想帮我关阳台灯,阳台,灯,关闭
客厅的灯关闭一下,客厅,灯,关闭
我想请打开客厅空调,客厅,空调,打开
把书房窗帘开启,书房,窗帘,打开
请关一下卫生间热水器,卫生间,热水器,关闭
打开书房风扇,书房,风扇,打开
帮我请打开卧室的灯,卧室,灯,打开
现在打开客厅灯,客厅,灯,打开
现在打开阳台灯,阳台,灯,打开
关掉餐厅风扇,餐厅,风扇,关闭
开一下餐厅空调,餐厅,空调,打开
请停止阳台窗帘,阳台,窗帘,关闭
帮我关客厅窗帘,客厅,窗帘,关闭
书房的风扇帮我关一下,书房,风扇,关闭
现在请关闭书房风扇,书房,风扇,关闭
麻烦停止厨房里面的油烟机,厨房,油烟机,关闭
现在请打开餐厅灯,餐厅,灯,打开
现在关闭卧室空调,卧室,空调,关闭
帮我帮我关卧室的窗帘,卧室,窗帘,关闭
现在关一下卧室灯,卧室,灯,关闭
把卫生间排风扇帮我开,卫生间,排风扇,打开
麻烦打开厨房里面的热水器,厨房,热水器,打开
卧室的风扇帮我关一下,卧室,风扇,关闭
阳台的灯打开一下,阳台,灯,打开
麻烦开一下卧室里面的窗帘,卧室,窗帘,打开
现在关上卫生间热水器,卫生间,热水器,关闭
阳台的窗帘启动一下,阳台,窗帘,打开
把餐厅风扇打开,餐厅,风扇,打开
帮我帮我开客厅的风扇,客厅,风扇,打开
请关掉卧室窗帘,卧室,窗帘,关闭
现在帮我关卫生间灯,卫生间,灯,关闭
请关掉书房灯,书房,灯,关闭
打开阳台窗帘,阳台,窗帘,打开
请停止厨房灯,厨房,灯,关闭
我想开启厨房油烟机,厨房,油烟机,打开
帮我开一下阳台的窗帘,阳台,窗帘,打开
请请关闭书房窗帘,书房,窗帘,关闭
请开启客厅电视,客厅,电视,打开
帮我停止书房的空调,书房,空调,关闭
请打开客厅电视,客厅,电视,打开
请启动厨房灯,厨房,灯,打开
把书房风扇关掉,书房,风扇,关闭
请打开餐厅空调,餐厅,空调,打开
请关掉客厅窗帘,客厅,窗帘,关闭
卧室的灯关掉一下,卧室,灯,关闭
卧室的灯关闭一下,卧室,灯,关闭
帮我打开书房的灯,书房,灯,打开
请帮我开阳台灯,阳台,灯,打开
打开卧室风扇,卧室,风扇,打开
卧室的灯关一下一下,卧室,灯,关闭
厨房的热水器请关闭一下,厨房,热水器,关闭
把卧室空调关掉,卧室,空调,关闭
卫生间的热水器停止一下,卫生间,热水器,关闭
卫生间的热水器开启一下,卫生间,热水器,打开
关掉厨房油烟机,厨房,油烟机,关闭
麻烦关闭卧室里面的灯,卧室,灯,关闭
把卧室空调请打开,卧室,空调,打开
我想打开卧室空调,卧室,空调,打开
我想关上卫生间灯,卫生间,灯,关闭
现在关上客厅窗帘,客厅,窗帘,关闭
书房的风扇关一下一下,书房,风扇,关闭
把卫生间灯关闭,卫生间,灯,关闭
请关一下卫生间灯,卫生间,灯,关闭
阳台的灯关掉一下,阳台,灯,关闭
请停止客厅风扇,客厅,风扇,关闭
把书房空调关掉,书房,空调,关闭
麻烦帮我开书房里面的空调,书房,空调,打开
现在关掉餐厅空调,餐厅,空调,关闭
现在停止卧室窗帘,卧室,窗帘,关闭
帮我打开卧室的风扇,卧室,风扇,打开
麻烦关掉客厅里面的灯,客厅,灯,关闭
启动书房空调,书房,空调,打开
请帮我关卧室空调,卧室,空调,关闭
麻烦帮我开客厅里面的空调,客厅,空调,打开
把客厅窗帘请打开,客厅,窗帘,打开
开启客厅电视,客厅,电视,打开
我想关掉厨房灯,厨房,灯,关闭
开一下卫生间排风扇,卫生间,排风扇,打开
现在关上卧室窗帘,卧室,窗帘,关闭
帮我启动阳台的灯,阳台,灯,打开
麻烦停止卧室里面的风扇,卧室,风扇,关闭
我想请打开厨房灯,厨房,灯,打开
现在启动书房窗帘,书房,窗帘,打开
书房的灯关掉一下,书房,灯,关闭
打开餐厅空调,餐厅,空调,打开
餐厅的风扇请打开一下,餐厅,风扇,打开
帮我帮我开卧室的风扇,卧室,风扇,打开
我想关上客厅电视,客厅,电视,关闭
我想打开客厅空调,客厅,空调,打开
帮我打开餐厅的风扇,餐厅,风扇,打开
请开启卧室空调,卧室,空调,打开
现在请关闭厨房灯,厨房,灯,关闭
把客厅灯请关闭,客厅,灯,关闭
我想关掉餐厅空调,餐厅,空调,关闭
现在帮我开卧室灯,卧室,灯,打开
现在帮我关客厅灯,客厅,灯,关闭
帮我请关闭阳台的窗帘,阳台,窗帘,关闭
关闭餐厅空调,餐厅,空调,关闭
我想请关闭卫生间热水器,卫生间,热水器,关闭
客厅的空调关掉一下,客厅,空调,关闭
我想打开厨房热水器,厨房,热水器,打开
我想关掉餐厅空调,餐厅,空调,关闭
关一下书房窗帘,书房,窗帘,关闭
请帮我关书房空调,书房,空调,关闭
我想停止卧室风扇,卧室,风扇,关闭
请帮我关书房风扇,书房,风扇,关闭
开一下客厅窗帘,客厅,窗帘,打开
现在关上卧室空调,卧室,空调,关闭
请关闭客厅窗帘,客厅,窗帘,关闭
书房的灯请关闭一下,书房,灯,关闭
现在请打开客厅电视,客厅,电视,打开
我想打开卧室风扇,卧室,风扇,打开
麻烦关上客厅里面的电视,客厅,电视,关闭
把餐厅灯开启,餐厅,灯,打开
麻烦帮我关厨房里面的油烟机,厨房,油烟机,关闭
麻烦关掉餐厅里面的风扇,餐厅,风扇,关闭
我想关闭客厅灯,客厅,灯,关闭
请开启厨房灯,厨房,灯,打开
现在关掉卫生间排风扇,卫生间,排风扇,关闭
把餐厅风扇帮我开,餐厅,风扇,打开
请打开卧室空调,卧室,空调,打开
请开启阳台灯,阳台,灯,打开
关闭客厅风扇,客厅,风扇,关闭
现在请打开书房灯,书房,灯,打开
帮我打开卧室的灯,卧室,灯,打开
餐厅的风扇关闭一下,餐厅,风扇,关闭
打开书房空调,书房,空调,打开
麻烦开启书房里面的空调,书房,空调,打开
我想启动客厅空调,客厅,空调,打开
客厅的风扇关上一下,客厅,风扇,关闭
厨房的热水器关闭一下,厨房,热水器,关闭
请打开书房窗帘,书房,窗帘,打开
把卫生间灯请关闭,卫生间,灯,关闭
请帮我开卧室窗帘,卧室,窗帘,打开
关一下卧室空调,卧室,空调,关闭
我想关上餐厅灯,餐厅,灯,关闭
麻烦关一下餐厅里面的风扇,餐厅,风扇,关闭
麻烦关掉书房里面的窗帘,书房,窗帘,关闭
把卧室窗帘打开,卧室,窗帘,打开
请请打开卧室灯,卧室,灯,打开
帮我停止阳台的灯,阳台,灯,关闭
麻烦帮我开卧室里面的风扇,卧室,风扇,打开
我想帮我关客厅窗帘,客厅,窗帘,关闭
请启动客厅电视,客厅,电视,打开
把厨房油烟机请关闭,厨房,油烟机,关闭
现在请打开卧室空调,卧室,空调,打开
帮我关掉客厅的灯,客厅,灯,关闭
我想关闭卫生间灯,卫生间,灯,关闭
麻烦启动厨房里面的灯,厨房,灯,打开
把书房窗帘帮我关,书房,窗帘,关闭
把阳台灯开一下,阳台,灯,打开
麻烦关上卧室里面的空调,卧室,空调,关闭
把阳台窗帘关掉,阳台,窗帘,关闭
请请打开餐厅灯,餐厅,灯,打开
帮我关上书房的窗帘,书房,窗帘,关闭
把书房风扇打开,书房,风扇,打开
我想关掉卧室风扇,卧室,风扇,关闭
把卧室灯请打开,卧室,灯,打开
厨房的灯关上一下,厨房,灯,关闭
餐厅的灯打开一下,餐厅,灯,打开
现在关上餐厅空调,餐厅,空调,关闭
现在关掉厨房热水器,厨房,热水器,关闭
我想停止书房空调,书房,空调,关闭
请停止书房灯,书房,灯,关闭
停止客厅空调,客厅,空调,关闭
我想启动客厅灯,客厅,灯,打开
我想帮我关客厅灯,客厅,灯,关闭
我想帮我开餐厅风扇,餐厅,风扇,打开
把卧室空调帮我开,卧室,空调,打开
请请打开厨房热水器,厨房,热水器,打开
现在关掉书房空调,书房,空调,关闭
把餐厅空调启动,餐厅,空调,打开
麻烦帮我开书房里面的风扇,书房,风扇,打开
麻烦停止客厅里面的风扇,客厅,风扇,关闭
卫生间的热水器开一下一下,卫生间,热水器,打开
麻烦开启卫生间里面的热水器,卫生间,热水器,打开
把厨房灯开一下,厨房,灯,打开
帮我关上厨房的热水器,厨房,热水器,关闭
我想帮我开书房灯,书房,灯,打开
现在停止阳台灯,阳台,灯,关闭
打开厨房灯,厨房,灯,打开
把客厅窗帘关掉,客厅,窗帘,关闭
现在关闭阳台灯,阳台,灯,关闭
把卫生间灯打开,卫生间,灯,打开
麻烦关一下阳台里面的窗帘,阳台,窗帘,关闭
麻烦关闭餐厅里面的空调,餐厅,空调,关闭
现在打开客厅窗帘,客厅,窗帘,打开
把厨房灯关上,厨房,灯,关闭
请帮我开厨房油烟机,厨房,油烟机,打开
麻烦停止阳台里面的窗帘,阳台,窗帘,关闭
麻烦启动书房里面的灯,书房,灯,打开
打开厨房油烟机,厨房,油烟机,打开
我想请关闭卧室窗帘,卧室,窗帘,关闭
关闭厨房热水器,厨房,热水器,关闭
把书房风扇停止,书房,风扇,关闭
我想启动卧室窗帘,卧室,窗帘,打开
我想关掉卧室灯,卧室,灯,关闭
帮我停止卫生间的热水器,卫生间,热水器,关闭
麻烦开启卫生间里面的灯,卫生间,灯,打开
我想打开客厅风扇,客厅,风扇,打开
客厅的空调打开一下,客厅,空调,打开
麻烦关掉卧室里面的窗帘,卧室,窗帘,关闭
麻烦开一下餐厅里面的空调,餐厅,空调,打开
我想开启阳台灯,阳台,灯,打开
帮我关掉书房的风扇,书房,风扇,关闭
麻烦关掉客厅里面的电视,客厅,电视,关闭
请开启卫生间排风扇,卫生间,排风扇,打开
麻烦帮我关卫生间里面的排风扇,卫生间,排风扇,关闭
现在关一下客厅风扇,客厅,风扇,关闭
卧室的空调打开一下,卧室,空调,打开
请帮我关卧室灯,卧室,灯,关闭
帮我关卧室灯,卧室,灯,关闭
把客厅灯请打开,客厅,灯,打开
帮我开启阳台的窗帘,阳台,窗帘,打开
关闭客厅电视,客厅,电视,关闭
把客厅风扇帮我开,客厅,风扇,打开
我想帮我开书房空调,书房,空调,打开
把书房风扇关闭,书房,风扇,关闭
请关掉书房风扇,书房,风扇,关闭
我想帮我关餐厅灯,餐厅,灯,关闭
请请关闭阳台灯,阳台,灯,关闭
现在关掉卫生间灯,卫生间,灯,关闭
关掉客厅灯,客厅,灯,关闭
关掉阳台窗帘,阳台,窗帘,关闭
我想打开卫生间热水器,卫生间,热水器,打开
我想开一下书房风扇,书房,风扇,打开
请帮我关卫生间排风扇,卫生间,排风扇,关闭
关掉卧室风扇,卧室,风扇,关闭
把书房空调请打开,书房,空调,打开
我想关一下餐厅空调,餐厅,空调,关闭
把卫生间灯开启,卫生间,灯,打开
麻烦帮我开客厅里面的风扇,客厅,风扇,打开
把客厅灯打开,客厅,灯,打开
请打开卫生间排风扇,卫生间,排风扇,打开
餐厅的灯启动一下,餐厅,灯,打开
帮我关一下餐厅的灯,餐厅,灯,关闭
我想关掉客厅窗帘,客厅,窗帘,关闭
把客厅窗帘请关闭,客厅,窗帘,关闭
请开一下书房窗帘,书房,窗帘,打开
把客厅电视开启,客厅,电视,打开
现在打开卧室窗帘,卧室,窗帘,打开
我想请打开阳台窗帘,阳台,窗帘,打开
把书房风扇帮我关,书房,风扇,关闭
现在关掉客厅风扇,客厅,风扇,关闭
关一下阳台灯,阳台,灯,关闭
把餐厅灯启动,餐厅,灯,打开
请打开卧室风扇,卧室,风扇,打开
现在关上厨房热水器,厨房,热水器,关闭
麻烦打开卫生间里面的排风扇,卫生间,排风扇,打开
关掉书房风扇,书房,风扇,关闭
把客厅电视关上,客厅,电视,关闭
帮我打开卧室的空调,卧室,空调,打开
请打开书房空调,书房,空调,打开
请帮我开卫生间热水器,卫生间,热水器,打开
客厅的空调请打开一下,客厅,空调,打开
把卧室窗帘关上,卧室,窗帘,关闭
客厅的灯开一下一下,客厅,灯,打开
厨房的热水器打开一下,厨房,热水器,打开
我想帮我开厨房热水器,厨房,热水器,打开
现在打开客厅电视,客厅,电视,打开
我想关掉厨房油烟机,厨房,油烟机,关闭
把卫生间热水器关上,卫生间,热水器,关闭
请关掉书房空调,书房,空调,关闭
客厅的窗帘开一下一下,客厅,窗帘,打开
现在关一下卫生间热水器,卫生间,热水器,关闭
打开客厅电视,客厅,电视,打开
书房的风扇开启一下,书房,风扇,打开
我想关一下卫生间排风扇,卫生间,排风扇,关闭
现在关闭客厅电视,客厅,电视,关闭
把餐厅风扇启动,餐厅,风扇,打开
麻烦关上阳台里面的窗帘,阳台,窗帘,关闭
把餐厅空调请关闭,餐厅,空调,关闭
关掉卫生间灯,卫生间,灯,关闭
我想打开书房风扇,书房,风扇,打开
打开厨房油烟机,厨房,油烟机,打开
麻烦帮我关餐厅里面的灯,餐厅,灯,关闭
我想帮我关厨房油烟机,厨房,油烟机,关闭
帮我关上厨房的灯,厨房,灯,关闭
麻烦请关闭餐厅里面的风扇,餐厅,风扇,关闭
现在开一下书房空调,书房,空调,打开
把阳台窗帘请关闭,阳台,窗帘,关闭
现在开启客厅灯,客厅,灯,打开
麻烦帮我开卧室里面的窗帘,卧室,窗帘,打开
请停止卫生间排风扇,卫生间,排风扇,关闭
帮我请打开卫生间的排风扇,卫生间,排风扇,打开
打开客厅窗帘,客厅,窗帘,打开
请关上书房灯,书房,灯,关闭
阳台的灯请打开一下,阳台,灯,打开
帮我开启卧室的灯,卧室,灯,打开
把书房风扇开启,书房,风扇,打开
现在关一下餐厅空调,餐厅,空调,关闭
现在帮我关书房风扇,书房,风扇,关闭
请停止书房窗帘,书房,窗帘,关闭
请关上书房窗帘,书房,窗帘,关闭
关掉卧室空调,卧室,空调,关闭
我想关掉卧室窗帘,卧室,窗帘,关闭
我想停止客厅电视,客厅,电视,关闭
麻烦开启书房里面的灯,书房,灯,打开
把餐厅风扇关一下,餐厅,风扇,关闭
请开一下客厅灯,客厅,灯,打开
卫生间的热水器请关闭一下,卫生间,热水器,关闭
把客厅窗帘帮我关,客厅,窗帘,关闭
客厅的灯开启一下,客厅,灯,打开
把客厅灯帮我开,客厅,灯,打开
我想帮我关书房风扇,书房,风扇,关闭
现在关上阳台灯,阳台,灯,关闭
我想帮我关阳台窗帘,阳台,窗帘,关闭
把餐厅空调开一下,餐厅,空调,打开
请打开书房灯,书房,灯,打开
请关掉餐厅空调,餐厅,空调,关闭
麻烦开启客厅里面的窗帘,客厅,窗帘,打开
帮我关闭卫生间的灯,卫生间,灯,关闭
麻烦启动客厅里面的窗帘,客厅,窗帘,打开
请打开卧室窗帘,卧室,窗帘,打开
现在帮我开卧室窗帘,卧室,窗帘,打开
客厅的窗帘关掉一下,客厅,窗帘,关闭
我想请关闭卫生间排风扇,卫生间,排风扇,关闭
把餐厅风扇停止,餐厅,风扇,关闭
把阳台灯停止,阳台,灯,关闭
现在打开餐厅空调,餐厅,空调,打开
现在请打开餐厅风扇,餐厅,风扇,打开
麻烦帮我开卧室里面的灯,卧室,灯,打开
开一下卧室风扇,卧室,风扇,打开
我想关闭客厅电视,客厅,电视,关闭
请启动书房空调,书房,空调,打开
帮我开启厨房的热水器,厨房,热水器,打开
麻烦关掉客厅里面的窗帘,客厅,窗帘,关闭
请帮我关客厅空调,客厅,空调,关闭
请请关闭客厅电视,客厅,电视,关闭
启动餐厅风扇,餐厅,风扇,打开
请帮我开书房风扇,书房,风扇,打开
请开一下卫生间热水器,卫生间,热水器,打开
卧室的窗帘关掉一下,卧室,窗帘,关闭
帮我帮我开书房的空调,书房,空调,打开
请开一下客厅空调,客厅,空调,打开
开一下客厅空调,客厅,空调,打开
麻烦关上厨房里面的灯,厨房,灯,关闭
麻烦启动客厅里面的风扇,客厅,风扇,打开
帮我开书房风扇,书房,风扇,打开
现在关一下客厅窗帘,客厅,窗帘,关闭
我想帮我关卧室窗帘,卧室,窗帘,关闭
帮我停止客厅的风扇,客厅,风扇,关闭
我想关闭书房窗帘,书房,窗帘,关闭
麻烦帮我开书房里面的窗帘,书房,窗帘,打开
帮我帮我关卧室的空调,卧室,空调,关闭
把书房灯帮我关,书房,灯,关闭
我想打开客厅空调,客厅,空调,打开
麻烦帮我关客厅里面的电视,客厅,电视,关闭
把书房灯关上,书房,灯,关闭
麻烦关掉书房里面的风扇,书房,风扇,关闭
请请关闭卧室灯,卧室,灯,关闭
打开卫生间热水器,卫生间,热水器,打开
我想关闭餐厅空调,餐厅,空调,关闭
帮我开厨房灯,厨房,灯,打开
帮我关掉卫生间的灯,卫生间,灯,关闭
书房的窗帘关上一下,书房,窗帘,关闭
把书房空调请关闭,书房,空调,关闭
帮我启动客厅的窗帘,客厅,窗帘,打开
现在停止书房空调,书房,空调,关闭
我想打开厨房油烟机,厨房,油烟机,打开
现在启动餐厅灯,餐厅,灯,打开
麻烦启动餐厅里面的风扇,餐厅,风扇,打开
现在开一下客厅空调,客厅,空调,打开
把卫生间灯停止,卫生间,灯,关闭
帮我帮我关卫生间的排风扇,卫生间,排风扇,关闭
麻烦请打开客厅里面的窗帘,客厅,窗帘,打开
帮我关厨房灯,厨房,灯,关闭
帮我关一下卫生间的排风扇,卫生间,排风扇,关闭
关闭卧室空调,卧室,空调,关闭
我想请关闭客厅电视,客厅,电视,关闭
客厅的风扇打开一下,客厅,风扇,打开
现在请打开厨房灯,厨房,灯,打开
现在开启书房空调,书房,空调,打开
现在关掉客厅电视,客厅,电视,关闭
现在帮我开厨房灯,厨房,灯,打开
现在请关闭卧室风扇,卧室,风扇,关闭
现在请打开书房空调,书房,空调,打开
把书房灯开一下,书房,灯,打开
我想请打开卫生间排风扇,卫生间,排风扇,打开
关闭客厅空调,客厅,空调,关闭
把餐厅空调开启,餐厅,空调,打开
麻烦开一下卧室里面的风扇,卧室,风扇,打开
客厅的电视开一下一下,客厅,电视,打开
把卧室空调启动,卧室,空调,打开
现在启动卧室空调,卧室,空调,打开
现在关上餐厅灯,餐厅,灯,关闭
我想请关闭餐厅风扇,餐厅,风扇,关闭
帮我请关闭厨房的灯,厨房,灯,关闭
现在开启书房风扇,书房,风扇,打开
我想打开餐厅空调,餐厅,空调,打开
餐厅的灯关上一下,餐厅,灯,关闭
麻烦帮我开卫生间里面的灯,卫生间,灯,打开
请请打开卧室风扇,卧室,风扇,打开
把厨房热水器关上,厨房,热水器,关闭
请请关闭阳台窗帘,阳台,窗帘,关闭
帮我开启书房的灯,书房,灯,打开
帮我打开厨房的油烟机,厨房,油烟机,打开
现在帮我开客厅灯,客厅,灯,打开
请关闭卫生间灯,卫生间,灯,关闭
帮我开启阳台的灯,阳台,灯,打开
请打开餐厅空调,餐厅,空调,打开
我想请关闭书房风扇,书房,风扇,关闭
帮我开客厅灯,客厅,灯,打开
帮我启动厨房的油烟机,厨房,油烟机,打开
餐厅的空调开启一下,餐厅,空调,打开
我想开一下卧室窗帘,卧室,窗帘,打开
开启客厅空调,客厅,空调,打开
停止卧室空调,卧室,空调,关闭
请关掉客厅风扇,客厅,风扇,关闭
帮我帮我开餐厅的灯,餐厅,灯,打开
我想开一下厨房热水器,厨房,热水器,打开
现在请打开卫生间灯,卫生间,灯,打开
请关闭餐厅灯,餐厅,灯,关闭
请关掉餐厅风扇,餐厅,风扇,关闭
现在关闭书房窗帘,书房,窗帘,关闭
请停止客厅窗帘,客厅,窗帘,关闭
卧室的空调打开一下,卧室,空调,打开
帮我请关闭餐厅的灯,餐厅,灯,关闭
我想启动客厅风扇,客厅,风扇,打开
把卧室风扇关掉,卧室,风扇,关闭
帮我关上卧室的灯,卧室,灯,关闭
请帮我关阳台窗帘,阳台,窗帘,关闭
我想打开客厅窗帘,客厅,窗帘,打开
把阳台窗帘帮我关,阳台,窗帘,关闭
帮我帮我关卫生间的热水器,卫生间,热水器,关闭
帮我关一下卧室的窗帘,卧室,窗帘,关闭
请停止书房空调,书房,空调,关闭
关闭阳台灯,阳台,灯,关闭
我想请打开卧室空调,卧室,空调,打开
麻烦启动卫生间里面的灯,卫生间,灯,打开
把餐厅灯请关闭,餐厅,灯,关闭
卧室的空调关一下一下,卧室,空调,关闭
我想开一下客厅电视,客厅,电视,打开
把厨房灯关一下,厨房,灯,关闭
书房的灯开启一下,书房,灯,打开
请启动客厅空调,客厅,空调,打开
帮我请关闭卫生间的排风扇,卫生间,排风扇,关闭
请帮我关厨房油烟机,厨房,油烟机,关闭
