text,location,device,action
我想帮我开卧室空调,卧室,空调,打开
客厅的灯关掉一下,客厅,灯,关闭
麻烦请关闭阳台里面的窗帘,阳台,窗帘,关闭
请关掉卧室风扇,卧室,风扇,关闭
麻烦打开书房里面的空调,书房,空调,打开
启动阳台灯,阳台,灯,打开
把书房灯关闭,书房,灯,关闭
现在关一下书房风扇,书房,风扇,关闭
关掉书房窗帘,书房,窗帘,关闭
请打开卧室灯,卧室,灯,打开
客厅的窗帘停止一下,客厅,窗帘,关闭
请开一下阳台灯,阳台,灯,打开
餐厅的风扇请关闭一下,餐厅,风扇,关闭
帮我关掉卧室的窗帘,卧室,窗帘,关闭
开一下卧室空调,卧室,空调,打开
我想关掉书房灯,书房,灯,关闭
把客厅灯关一下,客厅,灯,关闭
帮我关掉餐厅的灯,餐厅,灯,关闭
帮我关卫生间排风扇,卫生间,排风扇,关闭
请开一下卫生间灯,卫生间,灯,打开
帮我关闭客厅的风扇,客厅,风扇,关闭
麻烦打开客厅里面的空调,客厅,空调,打开
关闭卫生间热水器,卫生间,热水器,关闭
帮我开卧室窗帘,卧室,窗帘,打开
请请打开卫生间热水器,卫生间,热水器,打开
麻烦启动餐厅里面的灯,餐厅,灯,打开
关掉厨房灯,厨房,灯,关闭
帮我关上餐厅的风扇,餐厅,风扇,关闭
我想关上餐厅风扇,餐厅,风扇,关闭
帮我开一下卧室的窗帘,卧室,窗帘,打开
请关闭书房空调,书房,空调,关闭
帮我开启卧室的空调,卧室,空调,打开
书房的空调开启一下,书房,空调,打开
我想打开餐厅风扇,餐厅,风扇,打开
餐厅的风扇关一下一下,餐厅,风扇,关闭
把卫生间灯关上,卫生间,灯,关闭
厨房的灯请打开一下,厨房,灯,打开
麻烦打开书房里面的灯,书房,灯,打开
麻烦关掉书房里面的风扇,书房,风扇,关闭
请帮我关卫生间灯,卫生间,灯,关闭
把客厅空调打开,客厅,空调,打开
我想关一下客厅窗帘,客厅,窗帘,关闭
我想停止卧室窗帘,卧室,窗帘,关闭
把客厅窗帘开一下,客厅,窗帘,打开
现在启动卧室灯,卧室,灯,打开
启动卧室风扇,卧室,风扇,打开
帮我关闭餐厅的空调,餐厅,空调,关闭
我想关上阳台窗帘,阳台,窗帘,关闭
关掉厨房热水器,厨房,热水器,关闭
麻烦打开客厅里面的灯,客厅,灯,打开
把客厅空调开启,客厅,空调,打开
麻烦关掉书房里面的灯,书房,灯,关闭
把厨房热水器关闭,厨房,热水器,关闭
帮我帮我关餐厅的空调,餐厅,空调,关闭
现在停止卫生间灯,卫生间,灯,关闭
把卧室灯帮我开,卧室,灯,打开
现在启动客厅风扇,客厅,风扇,打开
餐厅的风扇关掉一下,餐厅,风扇,关闭
把卫生间热水器停止,卫生间,热水器,关闭
请帮我关客厅电视,客厅,电视,关闭
我想启动客厅窗帘,客厅,窗帘,打开
现在开一下阳台窗帘,阳台,窗帘,打开
麻烦关上卧室里面的窗帘,卧室,窗帘,关闭
现在关掉卧室窗帘,卧室,窗帘,关闭
请帮我关卧室风扇,卧室,风扇,关闭
帮我关一下卫生间的灯,卫生间,灯,关闭
请打开客厅空调,客厅,空调,打开
现在帮我关卧室空调,卧室,空调,关闭
麻烦请打开客厅里面的空调,客厅,空调,打开
我想打开厨房灯,厨房,灯,打开
帮我请打开阳台的窗帘,阳台,窗帘,打开
书房的空调停止一下,书房,空调,关闭
麻烦关上书房里面的空调,书房,空调,关闭
卧室的窗帘关上一下,卧室,窗帘,关闭
我想关上厨房油烟机,厨房,油烟机,关闭
帮我开一下厨房的热水器,厨房,热水器,打开
打开客厅电视,客厅,电视,打开
关上阳台灯,阳台,灯,关闭
关闭书房空调,书房,空调,关闭
帮我启动书房的风扇,书房,风扇,打开
把客厅空调关掉,客厅,空调,关闭
停止书房空调,书房,空调,关闭
麻烦关一下书房里面的窗帘,书房,窗帘,关闭
书房的窗帘请打开一下,书房,窗帘,打开
麻烦打开卫生间里面的灯,卫生间,灯,打开
现在开启卫生间灯,卫生间,灯,打开
麻烦开一下书房里面的灯,书房,灯,打开
打开餐厅灯,餐厅,灯,打开
帮我关闭卧室的风扇,卧室,风扇,关闭
请关闭卧室空调,卧室,空调,关闭
现在关一下餐厅风扇,餐厅,风扇,关闭
帮我帮我关厨房的油烟机,厨房,油烟机,关闭
现在打开客厅电视,客厅,电视,打开
现在开启客厅电视,客厅,电视,打开
帮我请关闭书房的风扇,书房,风扇,关闭
开启餐厅灯,餐厅,灯,打开
现在请关闭厨房油烟机,厨房,油烟机,关闭
打开卫生间排风扇,卫生间,排风扇,打开
书房的空调关掉一下,书房,空调,关闭
请请打开餐厅风扇,餐厅,风扇,打开
帮我请打开餐厅的灯,餐厅,灯,打开
麻烦请关闭卧室里面的灯,卧室,灯,关闭
餐厅的灯开一下一下,餐厅,灯,打开
开一下阳台窗帘,阳台,窗帘,打开
客厅的灯关掉一下,客厅,灯,关闭
我想开一下卫生间灯,卫生间,灯,打开
卧室的空调帮我关一下,卧室,空调,关闭
我想打开餐厅空调,餐厅,空调,打开
把卫生间排风扇启动,卫生间,排风扇,打开
麻烦关一下客厅里面的窗帘,客厅,窗帘,关闭
客厅的窗帘关一下一下,客厅,窗帘,关闭
请开一下阳台窗帘,阳台,窗帘,打开
启动卧室窗帘,卧室,窗帘,打开
现在启动阳台窗帘,阳台,窗帘,打开
我想帮我开阳台灯,阳台,灯,打开
请帮我开客厅窗帘,客厅,窗帘,打开
把厨房灯帮我关,厨房,灯,关闭
启动客厅电视,客厅,电视,打开
我想帮我开卫生间排风扇,卫生间,排风扇,打开
书房的窗帘打开一下,书房,窗帘,打开
麻烦帮我关书房里面的空调,书房,空调,关闭
请请关闭厨房灯,厨房,灯,关闭
麻烦关掉客厅里面的灯,客厅,灯,关闭
把书房灯打开,书房,灯,打开
把书房风扇帮我开,书房,风扇,打开
麻烦关闭卧室里面的空调,卧室,空调,关闭
请停止客厅灯,客厅,灯,关闭
请关上厨房油烟机,厨房,油烟机,关闭
开启卧室空调,卧室,空调,打开
现在请打开客厅风扇,客厅,风扇,打开
关闭客厅窗帘,客厅,窗帘,关闭
厨房的油烟机开启一下,厨房,油烟机,打开
请打开卧室空调,卧室,空调,打开
我想关闭厨房热水器,厨房,热水器,关闭
我想关一下客厅风扇,客厅,风扇,关闭
我想开一下卫生间排风扇,卫生间,排风扇,打开
现在停止厨房热水器,厨房,热水器,关闭
我想请打开卧室窗帘,卧室,窗帘,打开
麻烦打开餐厅里面的灯,餐厅,灯,打开
现在请关闭卫生间灯,卫生间,灯,关闭
请打开厨房油烟机,厨房,油烟机,打开
开一下书房窗帘,书房,窗帘,打开
请关上卧室空调,卧室,空调,关闭
请关一下卧室灯,卧室,灯,关闭
麻烦关掉卧室里面的风扇,卧室,风扇,关闭
我想开一下阳台灯,阳台,灯,打开
书房的窗帘帮我关一下,书房,窗帘,关闭
开一下厨房热水器,厨房,热水器,打开
把阳台窗帘打开,阳台,窗帘,打开
我想请打开书房灯,书房,灯,打开
客厅的空调帮我关一下,客厅,空调,关闭
打开卧室灯,卧室,灯,打开
卫生间的热水器启动一下,卫生间,热水器,打开
关一下卧室风扇,卧室,风扇,关闭
卧室的窗帘关闭一下,卧室,窗帘,关闭
请关上餐厅空调,餐厅,空调,关闭
把书房空调帮我开,书房,空调,打开
请关闭客厅灯,客厅,灯,关闭
把阳台灯关掉,阳台,灯,关闭
请帮我开卫生间灯,卫生间,灯,打开
帮我开启书房的窗帘,书房,窗帘,打开
开启客厅窗帘,客厅,窗帘,打开
关上厨房热水器,厨房,热水器,关闭
客厅的空调打开一下,客厅,空调,打开
帮我打开卫生间的灯,卫生间,灯,打开
麻烦开一下阳台里面的窗帘,阳台,窗帘,打开
麻烦关上餐厅里面的风扇,餐厅,风扇,关闭
麻烦关一下餐厅里面的灯,餐厅,灯,关闭
麻烦开一下厨房里面的热水器,厨房,热水器,打开
帮我关一下阳台的窗帘,阳台,窗帘,关闭
餐厅的空调关一下一下,餐厅,空调,关闭
我想打开客厅电视,客厅,电视,打开
请关闭厨房灯,厨房,灯,关闭
请开启书房灯,书房,灯,打开
麻烦打开阳台里面的窗帘,阳台,窗帘,打开
帮我请关闭客厅的窗帘,客厅,窗帘,关闭
请帮我开客厅风扇,客厅,风扇,打开
麻烦打开卧室里面的灯,卧室,灯,打开
把餐厅风扇请打开,餐厅,风扇,打开
请关闭客厅灯,客厅,灯,关闭
我想关闭餐厅风扇,餐厅,风扇,关闭
现在关闭卫生间排风扇,卫生间,排风扇,关闭
请关闭卫生间排风扇,卫生间,排风扇,关闭
现在帮我关卧室灯,卧室,灯,关闭
麻烦开一下餐厅里面的风扇,餐厅,风扇,打开
帮我请打开客厅的窗帘,客厅,窗帘,打开
请关闭餐厅空调,餐厅,空调,关闭
卫生间的热水器打开一下,卫生间,热水器,打开
现在帮我开餐厅空调,餐厅,空调,打开
帮我打开阳台的灯,阳台,灯,打开
现在开启餐厅灯,餐厅,灯,打开
把餐厅风扇关上,餐厅,风扇,关闭
帮我关掉客厅的灯,客厅,灯,关闭
请请关闭客厅灯,客厅,灯,关闭
帮我帮我开阳台的灯,阳台,灯,打开
请关掉卧室空调,卧室,空调,关闭
把餐厅空调关闭,餐厅,空调,关闭
帮我开餐厅灯,餐厅,灯,打开
把厨房灯请打开,厨房,灯,打开
麻烦启动卧室里面的空调,卧室,空调,打开
现在帮我关餐厅空调,餐厅,空调,关闭
把餐厅空调关掉,餐厅,空调,关闭
我想打开书房空调,书房,空调,打开
客厅的灯打开一下,客厅,灯,打开
现在启动厨房灯,厨房,灯,打开
关上书房灯,书房,灯,关闭
请停止餐厅灯,餐厅,灯,关闭
关掉阳台灯,阳台,灯,关闭
厨房的热水器开一下一下,厨房,热水器,打开
现在开一下厨房热水器,厨房,热水器,打开
我想关一下卫生间灯,卫生间,灯,关闭
请关掉书房窗帘,书房,窗帘,关闭
我想关上卫生间排风扇,卫生间,排风扇,关闭
把卧室空调帮我关,卧室,空调,关闭
把卧室窗帘请打开,卧室,窗帘,打开
现在开一下餐厅灯,餐厅,灯,打开
餐厅的风扇打开一下,餐厅,风扇,打开
帮我打开书房的空调,书房,空调,打开
关掉客厅电视,客厅,电视,关闭
我想启动卧室空调,卧室,空调,打开
我想关闭厨房灯,厨房,灯,关闭
把卧室空调打开,卧室,空调,打开
请关掉阳台窗帘,阳台,窗帘,关闭
请关闭客厅风扇,客厅,风扇,关闭
现在请关闭阳台灯,阳台,灯,关闭
请关一下书房灯,书房,灯,关闭
请打开卧室风扇,卧室,风扇,打开
帮我关掉餐厅的风扇,餐厅,风扇,关闭
帮我关闭餐厅的风扇,餐厅,风扇,关闭
客厅的风扇帮我关一下,客厅,风扇,关闭
关掉卫生间热水器,卫生间,热水器,关闭
请关闭客厅空调,客厅,空调,关闭
请启动卧室风扇,卧室,风扇,打开
请启动书房风扇,书房,风扇,打开
把厨房油烟机关掉,厨房,油烟机,关闭
请请关闭卧室风扇,卧室,风扇,关闭
帮我启动厨房的热水器,厨房,热水器,打开
帮我请打开卫生间的热水器,卫生间,热水器,打开
请打开厨房灯,厨房,灯,打开
我想关掉客厅风扇,客厅,风扇,关闭
打开卫生间灯,卫生间,灯,打开
麻烦关掉餐厅里面的空调,餐厅,空调,关闭
现在帮我开餐厅风扇,餐厅,风扇,打开
把卧室灯关掉,卧室,灯,关闭
麻烦关掉厨房里面的热水器,厨房,热水器,关闭
餐厅的灯停止一下,餐厅,灯,关闭
关闭阳台窗帘,阳台,窗帘,关闭
现在帮我开卫生间排风扇,卫生间,排风扇,打开
请关闭卧室风扇,卧室,风扇,关闭
书房的窗帘关闭一下,书房,窗帘,关闭
把厨房灯打开,厨房,灯,打开
麻烦请关闭厨房里面的热水器,厨房,热水器,关闭
现在关掉卧室灯,卧室,灯,关闭
请开一下厨房热水器,厨房,热水器,打开
请关上卧室窗帘,卧室,窗帘,关闭
我想打开客厅风扇,客厅,风扇,打开
帮我帮我开厨房的灯,厨房,灯,打开
把阳台窗帘关闭,阳台,窗帘,关闭
麻烦关一下客厅里面的风扇,客厅,风扇,关闭
书房的风扇关掉一下,书房,风扇,关闭
把书房风扇关上,书房,风扇,关闭
请开启卫生间热水器,卫生间,热水器,打开
帮我停止客厅的空调,客厅,空调,关闭
麻烦启动客厅里面的电视,客厅,电视,打开
请关闭客厅窗帘,客厅,窗帘,关闭
现在开一下卫生间灯,卫生间,灯,打开
麻烦停止卫生间里面的热水器,卫生间,热水器,关闭
麻烦关一下卧室里面的空调,卧室,空调,关闭
帮我开启厨房的灯,厨房,灯,打开
现在关掉客厅空调,客厅,空调,关闭
开启客厅风扇,客厅,风扇,打开
我想启动客厅电视,客厅,电视,打开
请关闭餐厅灯,餐厅,灯,关闭
把客厅窗帘停止,客厅,窗帘,关闭
我想关上客厅灯,客厅,灯,关闭
帮我停止书房的风扇,书房,风扇,关闭
停止阳台窗帘,阳台,窗帘,关闭
阳台的灯开启一下,阳台,灯,打开
把书房窗帘关一下,书房,窗帘,关闭
请开启书房窗帘,书房,窗帘,打开
请停止书房风扇,书房,风扇,关闭
卫生间的热水器关一下一下,卫生间,热水器,关闭
麻烦停止客厅里面的窗帘,客厅,窗帘,关闭
现在关闭客厅风扇,客厅,风扇,关闭
把书房灯请关闭,书房,灯,关闭
请关一下厨房热水器,厨房,热水器,关闭
把客厅窗帘启动,客厅,窗帘,打开
我想打开厨房灯,厨房,灯,打开
关闭书房灯,书房,灯,关闭
现在关一下阳台灯,阳台,灯,关闭
帮我停止厨房的热水器,厨房,热水器,关闭
现在请关闭卧室灯,卧室,灯,关闭
帮我打开客厅的灯,客厅,灯,打开
帮我关书房空调,书房,空调,关闭
厨房的灯帮我开一下,厨房,灯,打开
卫生间的热水器关掉一下,卫生间,热水器,关闭
打开厨房热水器,厨房,热水器,打开
请关闭卫生间热水器,卫生间,热水器,关闭
帮我请打开厨房的热水器,厨房,热水器,打开
现在关掉餐厅空调,餐厅,空调,关闭
请打开卧室空调,卧室,空调,打开
我想请打开书房窗帘,书房,窗帘,打开
关掉客厅风扇,客厅,风扇,关闭
帮我关上卫生间的热水器,卫生间,热水器,关闭
书房的灯打开一下,书房,灯,打开
关掉书房窗帘,书房,窗帘,关闭
麻烦打开客厅里面的风扇,客厅,风扇,打开
客厅的空调关闭一下,客厅,空调,关闭
现在请打开书房窗帘,书房,窗帘,打开
现在关掉书房空调,书房,空调,关闭
请开一下卧室窗帘,卧室,窗帘,打开
关一下厨房油烟机,厨房,油烟机,关闭
现在帮我开阳台窗帘,阳台,窗帘,打开
帮我请关闭书房的灯,书房,灯,关闭
开一下卫生间灯,卫生间,灯,打开
我想关掉卫生间灯,卫生间,灯,关闭
启动客厅灯,客厅,灯,打开
现在打开阳台窗帘,阳台,窗帘,打开
麻烦开启客厅里面的空调,客厅,空调,打开
现在停止厨房灯,厨房,灯,关闭
启动卫生间热水器,卫生间,热水器,打开
帮我请打开卧室的窗帘,卧室,窗帘,打开
现在关掉客厅灯,客厅,灯,关闭
现在启动卧室窗帘,卧室,窗帘,打开
麻烦启动餐厅里面的空调,餐厅,空调,打开
关一下客厅窗帘,客厅,窗帘,关闭
现在关一下客厅电视,客厅,电视,关闭
请关掉卫生间灯,卫生间,灯,关闭
卧室的空调启动一下,卧室,空调,打开
把客厅空调打开,客厅,空调,打开
请关一下卧室窗帘,卧室,窗帘,关闭
现在停止卫生间热水器,卫生间,热水器,关闭
停止餐厅空调,餐厅,空调,关闭
现在请打开卧室灯,卧室,灯,打开
帮我开书房窗帘,书房,窗帘,打开
请打开卫生间排风扇,卫生间,排风扇,打开
我想关掉客厅风扇,客厅,风扇,关闭
帮我帮我关书房的灯,书房,灯,关闭
请帮我开客厅空调,客厅,空调,打开
帮我关一下书房的空调,书房,空调,关闭
帮我打开书房的风扇,书房,风扇,打开
麻烦关一下卧室里面的窗帘,卧室,窗帘,关闭
阳台的灯关上一下,阳台,灯,关闭
麻烦请关闭书房里面的灯,书房,灯,关闭
请打开客厅风扇,客厅,风扇,打开
卧室的灯启动一下,卧室,灯,打开
麻烦请关闭书房里面的窗帘,书房,窗帘,关闭
帮我帮我关餐厅的灯,餐厅,灯,关闭
麻烦帮我关客厅里面的灯,客厅,灯,关闭
麻烦关上餐厅里面的灯,餐厅,灯,关闭
现在关上卧室风扇,卧室,风扇,关闭
麻烦请打开阳台里面的灯,阳台,灯,打开
帮我开一下卫生间的热水器,卫生间,热水器,打开
我想打开卫生间灯,卫生间,灯,打开
我想打开卧室灯,卧室,灯,打开
帮我关上客厅的风扇,客厅,风扇,关闭
卧室的灯开启一下,卧室,灯,打开
帮我关掉卫生间的热水器,卫生间,热水器,关闭
帮我开厨房热水器,厨房,热水器,打开
帮我打开卫生间的热水器,卫生间,热水器,打开
我想打开卫生间排风扇,卫生间,排风扇,打开
把餐厅风扇帮我关,餐厅,风扇,关闭
帮我关闭客厅的灯,客厅,灯,关闭
请开启餐厅空调,餐厅,空调,打开
请停止厨房油烟机,厨房,油烟机,关闭
书房的窗帘关掉一下,书房,窗帘,关闭
帮我帮我开餐厅的风扇,餐厅,风扇,打开
帮我开启餐厅的灯,餐厅,灯,打开
打开书房窗帘,书房,窗帘,打开
我想开一下客厅空调,客厅,空调,打开
麻烦打开阳台里面的窗帘,阳台,窗帘,打开
把客厅风扇关一下,客厅,风扇,关闭
麻烦关闭书房里面的灯,书房,灯,关闭
麻烦开启书房里面的窗帘,书房,窗帘,打开
我想关掉书房窗帘,书房,窗帘,关闭
我想停止书房窗帘,书房,窗帘,关闭
阳台的窗帘请打开一下,阳台,窗帘,打开
帮我关上书房的空调,书房,空调,关闭
现在关闭卧室灯,卧室,灯,关闭
帮我关闭卫生间的排风扇,卫生间,排风扇,关闭
卧室的风扇开一下一下,卧室,风扇,打开
请关上阳台窗帘,阳台,窗帘,关闭
请开启阳台窗帘,阳台,窗帘,打开
请开启客厅风扇,客厅,风扇,打开
我想关一下卫生间热水器,卫生间,热水器,关闭
帮我关餐厅风扇,餐厅,风扇,关闭
我想开一下书房灯,书房,灯,打开
麻烦关上卫生间里面的灯,卫生间,灯,关闭
请打开书房空调,书房,空调,打开
把阳台窗帘启动,阳台,窗帘,打开
关掉客厅窗帘,客厅,窗帘,关闭
把卧室窗帘关闭,卧室,窗帘,关闭
现在关掉书房窗帘,书房,窗帘,关闭
帮我打开客厅的空调,客厅,空调,打开
我想关闭卧室窗帘,卧室,窗帘,关闭
现在打开厨房热水器,厨房,热水器,打开
把厨房油烟机开启,厨房,油烟机,打开
餐厅的风扇关掉一下,餐厅,风扇,关闭
我想关一下厨房热水器,厨房,热水器,关闭
麻烦关掉客厅里面的空调,客厅,空调,关闭
请帮我关餐厅空调,餐厅,空调,关闭
关上客厅空调,客厅,空调,关闭
打开厨房热水器,厨房,热水器,打开
请关闭卧室灯,卧室,灯,关闭
现在打开卧室风扇,卧室,风扇,打开
开启阳台灯,阳台,灯,打开
把客厅空调关掉,客厅,空调,关闭
麻烦开启餐厅里面的灯,餐厅,灯,打开
请关闭书房灯,书房,灯,关闭
把书房窗帘开一下,书房,窗帘,打开
卧室的风扇启动一下,卧室,风扇,打开
现在打开客厅灯,客厅,灯,打开
现在帮我关书房灯,书房,灯,关闭
麻烦开启餐厅里面的空调,餐厅,空调,打开
请关闭阳台灯,阳台,灯,关闭
请启动客厅风扇,客厅,风扇,打开
麻烦帮我关阳台里面的窗帘,阳台,窗帘,关闭
把卫生间热水器关一下,卫生间,热水器,关闭
我想关掉卧室空调,卧室,空调,关闭
帮我打开客厅的窗帘,客厅,窗帘,打开
阳台的灯关掉一下,阳台,灯,关闭
打开客厅风扇,客厅,风扇,打开
现在帮我开卧室风扇,卧室,风扇,打开
关闭卫生间排风扇,卫生间,排风扇,关闭
帮我启动客厅的电视,客厅,电视,打开
请关闭书房窗帘,书房,窗帘,关闭
帮我关一下餐厅的空调,餐厅,空调,关闭
麻烦开启卧室里面的窗帘,卧室,窗帘,打开
我想停止书房风扇,书房,风扇,关闭
请关一下厨房灯,厨房,灯,关闭
书房的空调帮我关一下,书房,空调,关闭
帮我关上阳台的灯,阳台,灯,关闭
帮我请打开阳台的灯,阳台,灯,打开
我想关上卫生间热水器,卫生间,热水器,关闭
请关闭客厅空调,客厅,空调,关闭
我想请关闭书房窗帘,书房,窗帘,关闭
请启动阳台窗帘,阳台,窗帘,打开
帮我打开厨房的热水器,厨房,热水器,打开
客厅的电视帮我开一下,客厅,电视,打开
麻烦请打开卧室里面的空调,卧室,空调,打开
帮我请关闭厨房的油烟机,厨房,油烟机,关闭
把餐厅灯关闭,餐厅,灯,关闭
帮我开启卧室的窗帘,卧室,窗帘,打开
打开卧室灯,卧室,灯,打开
卫生间的排风扇请关闭一下,卫生间,排风扇,关闭
打开卧室空调,卧室,空调,打开
把餐厅灯请打开,餐厅,灯,打开
把客厅电视请关闭,客厅,电视,关闭
关掉卧室灯,卧室,灯,关闭
现在请关闭书房窗帘,书房,窗帘,关闭
麻烦开一下客厅里面的灯,客厅,灯,打开
把卫生间灯开一下,卫生间,灯,打开
帮我关一下客厅的窗帘,客厅,窗帘,关闭
我想帮我开书房风扇,书房,风扇,打开
请请打开卫生间灯,卫生间,灯,打开
把卫生间排风扇关闭,卫生间,排风扇,关闭
请请关闭卧室空调,卧室,空调,关闭
帮我请关闭卧室的窗帘,卧室,窗帘,关闭
请打开客厅风扇,客厅,风扇,打开
把客厅空调请关闭,客厅,空调,关闭
书房的窗帘打开一下,书房,窗帘,打开
把客厅灯开一下,客厅,灯,打开
阳台的灯启动一下,阳台,灯,打开
请启动客厅窗帘,客厅,窗帘,打开
现在关一下书房灯,书房,灯,关闭
关掉客厅灯,客厅,灯,关闭
请关上卫生间灯,卫生间,灯,关闭
关上厨房灯,厨房,灯,关闭
把卧室空调关闭,卧室,空调,关闭
关一下客厅空调,客厅,空调,关闭
现在关掉书房灯,书房,灯,关闭
麻烦打开客厅里面的窗帘,客厅,窗帘,打开
现在帮我关阳台窗帘,阳台,窗帘,关闭
卧室的空调帮我开一下,卧室,空调,打开
把厨房油烟机开一下,厨房,油烟机,打开
现在打开厨房热水器,厨房,热水器,打开
帮我关卧室风扇,卧室,风扇,关闭
帮我开启书房的风扇,书房,风扇,打开
卫生间的灯打开一下,卫生间,灯,打开
我想打开卫生间热水器,卫生间,热水器,打开
麻烦关闭客厅里面的空调,客厅,空调,关闭
把餐厅灯帮我关,餐厅,灯,关闭
我想停止卫生间排风扇,卫生间,排风扇,关闭
